93.3,67.771,5.0857
92.8,69.733,4.9874
93.9,70.857,4.2528
95.5,72.518,3.8097
95,73.668,3.4056
96.4,74.685,3.1295
98.8,76.337,2.4883
98.8,77.447,2.0965
99.2,78.255,1.7635
99.7,79.028,1.4558
99.8,79.625,1.2249
100,79.902,1.0828
100,80.196,0.88859
100,80.465,0.71048
100,80.643,0.61931
86.5,57.415,6.7571
89.4,60.321,6.2946
90.9,62.74,6.3894
89.4,64.301,5.6918
91.2,66.076,5.4325
92.3,68.193,5.0424
92.6,69.936,4.4609
93.6,71.178,4.2814
94.1,72.731,3.8166
96.2,73.943,3.3633
95.8,75.218,2.7045
97.9,76.581,2.3899
98.6,77.813,2.0249
99.2,78.607,1.6446
99.8,79.219,1.4314
99.9,79.767,1.1716
100,80.021,1.0181
100,80.388,0.80589
100,80.53,0.69072
100,80.73,0.55776
91.4,64.856,4.7385
93.3,65.819,4.7762
94,66.978,4.1477
92.6,67.556,4.2822
95.8,68.706,4.0897
98.1,69.192,4.029
96.5,70.598,3.5279
96.9,70.668,3.5304
97.2,71.374,3.6274
97.9,72.34,3.3753
98.5,72.59,3.4928
97.6,73.09,3.2031
97.2,73.691,3.1083
99.3,74.257,2.6726
98.9,74.743,2.8119
99.1,75.046,2.5996
99.8,75.544,2.6367
98.9,75.662,2.3426
99.7,76.286,2.3009
100,76.384,2.1196
92.4,65.245,5.0179
94.5,66.796,4.9617
96.6,67.897,4.3893
95.5,68.929,4.1495
95.4,69.672,4.393
96.8,70.632,3.8898
96.3,71.936,3.8722
98.3,72.384,3.4674
98.2,72.926,3.6401
97.9,73.811,3.3177
99.1,74.425,3.1113
99.1,75.296,2.8033
98.8,76.151,2.4888
98.6,76.483,2.3155
99.9,76.926,2.144
99,77.371,2.1245
99.9,77.985,1.788
99.9,78.1,1.8221
100,78.422,1.7464
100,78.829,1.5974
94.6,65.665,4.82
95,66.807,4.7625
96.5,68.324,4.5003
97.7,69.028,4.521
97.4,70.383,4.1582
97.2,71.471,4.1431
97,72.29,3.6455
97.6,73.207,3.6573
97.2,73.999,3.3174
98.1,74.776,3.0133
98.2,75.43,2.7461
99.1,76.184,2.583
99.3,76.907,2.2765
99.2,77.545,1.9895
99.9,78.147,1.8492
99.6,78.598,1.6596
99.6,78.912,1.535
100,79.165,1.5165
100,79.433,1.2631
100,79.681,1.2138
95.5,65.39,4.9637
94.5,66.857,4.7836
96.1,68.338,4.6234
96.3,69.677,4.4529
98.1,70.708,4.0633
96.9,71.853,3.9882
98.1,72.763,3.73
96.6,73.713,3.2608
98.9,74.591,3.0873
98.7,75.226,3.1504
